id[ ],sire[ ],dam[ ],year[ ],diet[ ],"obs[ ,1]","obs[ ,2]","obs[ ,3]",PN[ ],CP[ ],DF[ ]
186,19,2,3,2,-0.808411117,-0.593959398,-1.030934779,13.33333333,4.695692308,2067.2
187,20,3,3,1,1.071134231,2.432930683,1.837297955,21.2962963,28.5038,2503.437037
188,20,3,3,2,-0.758549096,-1.465142477,-1.727954378,13.5,2.79436,1961.188462
189,20,3,3,1,3.254800088,3.375295503,1.822665434,36.69230769,49.97332,2501.211538
190,20,3,3,1,1.066029784,0.42849574,0.972854323,21.26923077,8.63492,2371.961538
191,20,3,3,2,2.476156483,0.675674435,0.70996346,30.22222222,10.00496154,2331.977778
192,20,3,3,1,2.158974784,3.331696109,1.038564395,27.92592593,48.69192308,2381.955556
193,21,3,3,1,2.080407343,1.46338386,0.58093727,27.38461538,15.99683333,2312.353846
194,21,3,3,2,0.037543992,0.06979315,0.740253145,16.46153846,6.9734,2336.584615
195,21,3,3,2,0.910635885,0.604211122,-0.290343552,20.46153846,9.58792,2179.838462
196,21,3,3,2,-0.189674785,-0.612483309,0.898664264,15.55555556,4.644153846,2360.677778
197,21,3,3,2,0.629395823,2.832788361,-0.895920896,19.07692308,36.1714,2087.734615
198,21,3,3,1,0.096161388,0.548183979,-1.061837001,16.7037037,9.273153846,2062.5
199,21,3,3,1,-0.228085041,0.040419416,-0.44384126,15.40740741,6.852423077,2156.492593
200,21,3,3,2,0.051413533,-0.250417188,1.842801424,16.51851852,5.762230769,2504.274074
201,21,3,3,2,-0.967621153,-0.888434318,-0.821242867,12.81481481,3.940076923,2099.092593
202,22,3,3,2,0.321133775,-0.949906232,0.91963102,17.66666667,3.798384615,2363.866667
203,22,3,3,1,0.842151627,1.148508684,-0.551748029,20.11538462,13.26052,2140.080769
204,22,3,3,2,-0.325370001,-0.183960202,1.168863427,15.03846154,5.99496,2401.773077
205,22,3,3,1,1.32144636,1.489963501,0.878671573,22.66666667,16.25217391,2357.637037
206,22,3,3,2,-0.910032775,-0.097811993,0.164803453,13,6.310692308,2249.062963
207,22,3,3,2,-2.57195907,0.976408718,,8.592592593,11.96823077,
208,22,3,3,2,0.796700104,-0.175227903,2.325036812,19.88888889,6.026230769,2577.618519
209,23,3,3,1,-0.476853681,-0.212346788,0.059945322,14.48148148,5.894423077,2233.114815
210,23,3,3,1,0.477912144,-0.552034161,0.239489912,18.37037037,4.814461538,2260.422222
211,23,3,3,2,-0.559830095,-0.60644751,-0.50676588,14.18518519,4.660884615,2146.922222
212,23,3,3,2,-2.858783995,-0.347433553,-0.516470942,8,5.438608696,2145.446154
